Nom,URL,Région,Taille,Poids,Poil,Robe,Tête,Yeux,Oreilles,Queue,Caractère,Silhouette,Utilisation,Other names,Origin,United Kennel Club,RSCFRCE,Notes,Breed status,Height,Weight,Coat,Color,Litter size,Espèce,Colour,Clube Português de Canicultura,Fédération Cynologique Internationale,CMKU,Distribution,Kennel Club of Greece,Diffusion,Nom scientifique,Země původu,Hmotnost,Výška*,Barva,Skupina FCI,Sekce FCI,Podsekce FCI,FCI,Common nicknames,Cynological Federation of Georgia,Région d'élevage,New Zealand Kennel Club,Morphologie,Foundation stock,American Kennel Club,China Kennel Union,Pieds,Real Sociedad Canina de España,Toison,Govern Illes Balears,"Ministerio de Agricultura, Pesca y Alimentación",Ente Nazionale della Cinofilia Italiana
Berger picard,https://fr.wikipedia.org/wiki/Berger_picard,France,55 à 65 cm,,"dur, demi-long, non frisé, non plat, rêche et crissant ; de 5 à 6 cm.","gris, gris-noir, gris avec reflets noirs, gris-bleu, gris-roux, fauve clair ou foncé ou le mélange de ces teintes.","boîte crânienne assez large, sans exagération, très léger stop","de grandeur moyenne, pas en saillie, de couleur sombre","plantées assez haut, toujours portées droites naturellement, les pointes légèrement arrondies,longueur 10 cm.","poilue,au repos elle doit atteindre la pointe du jarret et pendre droite avec une légère courbure à l’extrémité","vif, dynamique ; tendre et délicat en famille.",22 à 32 kg (indicatif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger des Pyrénées,https://fr.wikipedia.org/wiki/Berger_des_Pyr%C3%A9n%C3%A9es,France ( Pyrénées ),de 40 cm à 46 cm pour la femelle et 42 cm à 48 cm pour le mâle (+ ou - 2 cm),entre 8 et 15 kg (mâle comme femelle),"long ou mi-long, pouvant former des cadenettes pour le poil long","noir avec ou sans tache blanche, gris, fauve charbonné, fauve bringé ou arlequin (merle)",bien proportionnée au corps,"petits, en amande et foncés","assez hautes attachées, tombantes ou semi-dressées selon l'aptitude du chien",de longueur moyenne et moyennement touffue ou touffue formant crochet,"très câlin, attachant, suit son maitre partout, chien de berger, bon gardien s'il est bien éduqué, assez têtu, très sociable avec les animaux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouvier bernois,https://fr.wikipedia.org/wiki/Bouvier_bernois,Suisse,Mâle : 64 à 70 cm Femelle : 58 à 66 cm,,"long, lisse ou légèrement ondulé","noire tricolore plastron blanc en forme de croix de Saint Georges liste blanche sur le front, sur le museau et entre les yeux bouts des pattes et bout de la queue blanche recherchés mais non obligatoires taches rousses au-dessus des yeux, sur les membres et les joues","puissante, crâne de face et de profil peu bombé",de couleur noisette foncé,"triangulaire, arrondie à l'extrémité, attachée haut, tombante et bien accolée à la tête.","attachée haut, portée gaiement","gardien calme, sensible, très affectueux et attaché à ses maîtres",42 à 62 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bichon à poil frisé,https://fr.wikipedia.org/wiki/Bichon_%C3%A0_poil_fris%C3%A9,Italie,30 cm maximum,"2,5 à 5 kg (indicatif)","Fin, doux, tirebouchonné, très lâche",Blanc pur,"Crâne plutôt plat au toucher, stop peu accentué, truffe bien noire","Vont du marron foncé au noir, bordés de paupières foncées de forme plutôt arrondie",Tombantes et bien garnies de poils finement frisés et longs,"Portée relevée et gracieusement recourbée, sans être enroulée; elle n'est pas écourtée","Vif, joyeux, affectueux, très attaché à son maître et ne peut s'en séparer, jamais fatigué Régions : Belgique, Canada, Espagne, France.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bichon havanais,https://fr.wikipedia.org/wiki/Bichon_havanais,Cuba,"23 à 27cm, parfois de 21 à 29cm",,"poil de couverture très long (12-18 cm), doux, plat ou ondulé et peut former des mèches bouclées","Blanc, Fauve (de fauve clair à havane), noire. Avec éventuellement des taches","Large, Plat à très peu bombé, front peu élevé, truffe noire","En amande, couleur brun foncé","Implantées relativement haut, tombantes le long des joues, couvertes d’un poil en longues franges",En forme de crosse ou enroulée sur le dos,Affectueux - d’un naturel joyeux - aimable et aime les enfants - Facile à éduquer comme chien d’alarme - il aboie à bon escient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy,https://fr.wikipedia.org/wiki/Billy_(chien),France,"60 à 70 cm (M), 58 à 62 cm (F)",,"Ras, dur, souvent un peu gros.","Uniformément blanche, blanc et café au lait, blanche avec des taches, orange clair ou citron.","Assez fine, sèche, de longueur moyenne.",Bien ouverts et de couleur foncé.,"Attachées un peu haut, plutôt plates et un peu tournées dans leur partie inférieure.",Longue et forte.,,"Chien bien bâti, fort et léger.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coonhound noir et beige,https://fr.wikipedia.org/wiki/Chien_noir_et_feu_pour_la_chasse_au_raton_laveur,États-Unis,"63 à 68 cm (M), 58 à 63 cm (F)",,Ras et serré.,Noire et feu.,"Nettement dessinée, sans pli.","De forme presque ronde, couleur noisette à marron foncé.","Longues, pendantes, attachées bas et bien en arrière.",Forme un angle droit avec le dos lorsque le chien est en action.,,"Chien courant de grande taille, à l'ossature modérément lourde et à la musculature tonique",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetick coonhound,https://fr.wikipedia.org/wiki/Bluetick_coonhound,États-Unis,,,Ras.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boerboel,https://fr.wikipedia.org/wiki/Boerboel,Afrique du Sud,Mâle : 62 à 72 cm Femelle : 56 à 65 cm,,,,,,,,"chien de garde, chien de compagnie",Mâle : 62 à 92 kg Femelle : 52 à 72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bichon bolonais,https://fr.wikipedia.org/wiki/Bichon_bolonais,,25 à 30 cmm,,"Long sur tout le corps, plutôt flou, pas couché, mais en mèches.","pur, sans aucune tache ni aucune nuance de blanc","Stop assez accentué et crâne plat, truffe noire","Bien ouverts, de grandeur supérieure à la normale; bord des paupières noir, iris ocre foncé","Attachées haut, elles sont longues et pendantes, plutôt rigides à leur base","Attachée dans la ligne de la croupe, elle se recourbe sur le dos.","Très sérieux, en général peu remuant, entreprenant, docile, très attaché à son maître","4,5 à 5,5 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolonka Franzuska,https://de.wikipedia.org/wiki/Bolonka_Franzuska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russkaya tsvetnaya bolonka,https://en.wikipedia.org/wiki/Bolonka,,,,,,,,,,,,,"Bolonka Zwetna, Franzuskaya Bolonka, Russian Lapdog",Russia,,,,Not recognized as a breed by any major kennel club .,Males,Males,Curly or wavy,"Black, Brown, Gray, Red, Wolf-Gray (Tsvetnaya/Zwetna) White (Franzuskaya)",1–3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Border Collie,https://fr.wikipedia.org/wiki/Border_collie,Angleterre Écosse,Mâle : 50-55 cm Femelle : 48-52 cm,17 à 30 kg,Court ou long [ 1 ],,,"Ovales, de grandeur moyenne, marron ou vairon.",Droites ou semi-dressées,"Portée bas, longueur moyenne","Ardent, disponible, protecteur, vigilant, attentif, réceptif, intelligent, fidèle",Athlétique (harmonieuse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Border Terrier,https://fr.wikipedia.org/wiki/Border_Terrier,,30 à 40 cm. Il n'existe pas de taille dans le standard. Le garde fou du standard est de pouvoir cercler le chien derrière les épaules avec les 2 mains d'un homme. (+ le poids),,Le poil est dur et dense et le sous-poil serré.,"Rouge, froment, grisonné et feu ou bleu et feu.",ressemble à une loutre,"Foncés, à l'expression vive.","Petites, en forme de ""V"". Elles sont modérément épaisses et tombent vers l'avant tout contre la joue.",assez courte et assez épaisse,"sociable, Combinant activité et courage.","5,9 à 7,1 kg. (M), 5,1 à 6,4 kg (F) https://www.fci.be/Nomenclature/Standards/010g03-fr.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien courant de Bosnie à poil dur,https://fr.wikipedia.org/wiki/Chien_courant_de_Bosnie_%C3%A0_poil_dur,Bosnie-Herzégovine,46 à 56 cm .,18 à 26 kg .,"Long, dur, hirsute et ébouriffé, avec sous-poil abondant.","Jaune froment, jaune-rouge, gris de terre ou noirâtre avec ou sans blanc, robe tricolore possible.","Stop doux, le chanfrein droit, museau rectangulaire","Gros, de forme ovale et de couleur châtain.","Tombantes, de longueur moyenne, larges, arrondies à leur extrémité.","Bien attachée, portée légèrement recourbée vers le haut, en cimeterre.","Vif, courageux et persévérant.","Chien courant de taille moyenne, de construction robuste.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrier de Boston,https://fr.wikipedia.org/wiki/Terrier_de_Boston,États-Unis,"3 tailles: • moins de 15 livres anglaises (moins de 6,80 kg) • de 15 à moins de 20 livres anglaises (de 6,8 kg à moins de 9 kg) • de 20 à 25 livres anglaises (de 9 à 11,35 kg)",,poil court et lisse,"bringé de couleur ""phoque"" ou noir panaché de blanc",,rond et sans blanc apparent,pointues,courte,,"COB (aussi haut que long), costaud mais non massif. Oreilles pointues et queue courte (naturelle).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouvier des Flandres,https://fr.wikipedia.org/wiki/Bouvier_des_Flandres,Belgique,59 à 68 cm,,"Rude et mat, texture sèche","Noir, gris, gris foncé, fauve, bringé",Massive,de couleur foncée,"coupées en triangles, portées bien droites",coupée à la deuxième ou troisième vertèbre,"calme, affectueux, et fidèle à ses maîtres",29 à 47 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bouledogue français,https://fr.wikipedia.org/wiki/Bouledogue,France,environ 35cm,De 10 à 16 kg,"Ras, serré et luisant","Fauve, unie ou légèrement bringée et parfois tachée de blanc , bleu","Brachycéphale, large, carrée, massive avec un museau plat et une puissante mâchoire",Globuleux,"Droites, en forme de « chauve-souris »","Courte, en chignon","Sociable, gai, joueur, possessif, éveillé","Petite, musclée et courte sur pattes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boykin Spaniel,https://fr.wikipedia.org/wiki/Boykin_Spaniel,,39–45 cm(M); 35-41 cm(F),,du plat à l'ondulé,"brun-rouge, marron ou chocolat",,jaunes ou marron,longues et larges,"coupée, 6-7,5 cm",,"15,5-20 kg (M); 13,5 kg à 18 kg (F).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braque italien,https://fr.wikipedia.org/wiki/Braque_italien,Italie,55 à 67 cm,27 à 42 kg,"Court, serré et luisant.","Blanc, blanc avec marques marron à ambre, moucheté, truité ou rouanné.",Anguleuse et étroite.,"De forme ovale, de couleur ocre à marron selon la couleur de la robe.","Larges et assez longues, forme un ourlet.",Écourtée. Portée horizontalement.,"Docile, résistant, facile à éduquer.",Braque de grande taille.,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien noir et bronzé autrichien,https://fr.wikipedia.org/wiki/Brachet_noir_et_feu,Autriche,"50 à 56 cm (M), 48 à 54 cm (F).",,"Court, lisse et brillant.","Noir et feu, yeux quatreoeillé",Crâne légèrement bombé.,"Marron foncé, sans conjonctivite.","Tombantes, bien à plat sur les joues, de longueur moyenne.","Longue, légèrement recourbée, au repos pendante.","Sûr de lui, agréable.",Chien courant de taille moyenne de construction solide et d'allure allongée.,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braque d'Auvergne,https://fr.wikipedia.org/wiki/Braque_d%27Auvergne,France,"57 à 63 cm (M), 53 à 59 cm (F)",,Court et brillant.,Noire à panachure blanche d’extension variable (mouchetée ou grisonné).,"Longue, de forme ovale vue de dessus.","Plutôt grands, ovales, de couleur noisette foncé.","Attachées en arrière, tombante.",Attachée assez haut et portée horizontalement. Cylindrique et pas trop fine. Peut-être écourtée,"Doux, affectueux, intelligent et docile.","Rectiligne, médioligne, de type braque.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braque de l'Ariège,https://fr.wikipedia.org/wiki/Braque_de_l%27Ari%C3%A8ge,France,"60 à 67 cm (M), 56 à 65 cm (F)",,"Serré, brillant, court, plus fin et ras sur la tête et sur les oreilles.","Fauve orangé pâle ou marron, fortement panaché de blanc.","La tête est longue, anguleuse et étroite au niveau des arcades zygomatiques.","Œil bien ouvert, légèrement ovale, de couleur ambre foncé ou marron en adéquation avec la robe.","Assez fines, longues, tombantes.",Attachée dans le prolongement de la ligne de la croupe. Écourtée ou non.,"Résistant, docile et facile à éduquer.","Médioligne, de type braccoïde , construction puissante sans lourdeur.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braque du Bourbonnais,https://fr.wikipedia.org/wiki/Braque_du_Bourbonnais,France,"51 à 57 cm (M), 48 à 55 cm (F)",,Court et dense.,Blanche mouchetée de marron («lie de vin» ou «lilas passé») ou truitée de fauve («fleur de pêcher»).,En forme de poire.,"Arrondis, de couleur noisette ou ambre foncé.","Tombante, dépassant légèrement la gorge.","Courte, naturelle ou écourtée.","Doux, intelligent et passionné pour la chasse.",,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Braque français, type Pyrénées","https://fr.wikipedia.org/wiki/Braque_fran%C3%A7ais,_type_Pyr%C3%A9n%C3%A9es",France,"51 à 58 cm (M), 49 à 56 cm (F)",,Peau tendue. Gros et bien fourni.,"Marron, marron et blanche, mouchetée ou non, marron marquée de fauve.","Assez importante, mais pas trop lourde. Crâne plat, stop modéré, truffe marron.","Marron ou jaune foncé, enchâssés.","Longueur moyenne, tombantes, arrondies à l'extrémité, pas trop larges.",Écourtée ou non.,"Intelligent, obéissant et très attaché à son maître.",Chien d’arrêt médioligne de type braccoïde. D'aspect puissant sans lourdeur.,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braque Saint-Germain,https://fr.wikipedia.org/wiki/Braque_Saint-Germain,France,"56 à 62 cm (M), 54 à 59 cm (F).",,Court et pas trop fin.,Blanc mat avec des taches orange (fauve).,"Lignes cranio-faciales parallèles ou très légèrement divergentes, stop moyennement accusé.","Bien ouverts, assez grands, de couleur jaune d’or.","Attachées au niveau de la ligne de l'œil, pas très longues.","Attachée assez bas, de petite taille et portée horizontalement.","Sociable, équilibré, affectueux.",Braque médioligne,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger de Brie,https://fr.wikipedia.org/wiki/Berger_de_Brie,France,56 à 68,,"flexueux, long sec (poil de chèvre) avec un léger sous-poil","3 couleurs uniformes : noir, fauve, gris (bleu)","forte, longue","horizontaux, bien ouverts, de couleur foncée","attachées haut, de préférence coupées et portées droites (avant mai 2004)","entière, bien garnie, formant crochet à l'extrémité","énergique, obéissant, bon gardien",30 à 40 kg (indicatif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briquet griffon vendéen,https://fr.wikipedia.org/wiki/Briquet_griffon_vend%C3%A9en,France,"50 à 55 cm (F), 48 à 53 cm",,"Dur et rêche, bien fourni.","Blanc et noir, noir et feu, noir et sable, blanc et orange, tricolore, fauve charbonné, sable charbonné avec ou sans blanc.","Assez légère, les lignes du crâne et du chanfrein doivent être parallèles.","Grand, de couleur foncée.","Tombantes, mi-longue, légèrement tournées vers l'intérieur.","Attachée haut, courte, portée en lame de sabre.","Tenace, intelligent, doux.","Chien courant de taille moyenne, d'allure sportive et ramassée.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broholmer,https://fr.wikipedia.org/wiki/Broholmer,Danemark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulldog anglais,https://fr.wikipedia.org/wiki/Bulldog_anglais,Royaume-Uni,,,"De texture fine, court, serré et lisse. Il n’est dur que parce qu’il est court et serré","Robe unicolore ou « suie » (c’est-à-dire unicolore avec le masque ou le museau noir). Il n’y a que des couleurs uniformes (qui doivent être brillantes et pures), à savoir : rouge dans ses différents tons, fauve, fauve pâle, etc. bringé, blanc et robe panachée (combinaison de blanc avec l’une quelconque des couleurs précédentes). Les couleurs foie, noir, noir et feu sont absolument à écarter.","Vue de profil, la tête paraît très haute et courte de l’occiput à l’extrémité du nez. Le front est plat ; la peau du front et de la tête est lâche et finement ridée. Le front n’est pas proéminent et ne surplombe pas la face. Les saillies des os frontaux sont proéminentes, larges, carrées et hautes. Du stop, un sillon à la fois large et profond s’étend jusqu’au milieu du crâne et on peut le suivre jusqu’au sommet. La face, de l’avant des zygomatiques à la truffe est courte et sa peau est ridée. La distance de la commissure interne de l’œil (ou du centre du stop, entre les yeux) à l’extrémité de la truffe n’est pas supérieure à la distance de l’extrémité de la truffe au bord de la lèvre inférieure.","Vus de face, les yeux sont situés bas dans le crâne, bien éloignés des oreilles. Les yeux et le stop sont sur une même ligne droite perpendiculaire au sillon frontal. Ils sont très écartés mais leurs commissures externes sont à l’intérieur du contour des joues. Ils sont de forme ronde, de dimension modérée, ni enfoncés, ni proéminents ; ils sont de couleur très sombre – presque noirs – ils ne laissent pas voir de blanc (sclérotique) quand ils regardent droit devant.","Attachées haut – c’est-à-dire que le bord antérieur de chaque oreille, vu de face, rejoint le contour du crâne à l’angle supérieur dudit contour, de telle sorte que les oreilles sont aussi écartées que possible et qu’elles sont placées aussi haut et aussi loin des yeux que possible. Elles sont petites et minces. L’oreille en rose est correcte c’est-à-dire qu’elle se replie vers l’intérieur dans sa partie postérieure, le bord antéro-supérieur se recourbant vers l’extérieur et vers l’arrière, découvrant en partie l’intérieur du conduit externe de l’oreille.","Attachée bas, la queue part en saillie, plutôt droite, puis s’incline vers le bas. Elle est ronde, lisse et dépourvue de frange ou de poils rudes. De longueur modérée – plutôt courte que longue – épaisse à la base, elle s’amincit rapidement en une fine pointe. Elle est portée bas, sans courbe marquée vers le haut à l’extrémité. Elle n’est jamais portée au-dessus du dos.","Donne une impression de détermination, de force et d’activité. Vif, hardi, fidèle, digne de confiance, courageux, doué d’une nature affectueuse, il est aussi très docile et gentil avec les enfants, même dès le plus jeune âge.","Chien à poil lisse, trapu, plutôt près de terre, large, puissant, compact. Tête assez forte par rapport à la taille du chien. La face est courte, le museau large, tronqué et incliné vers le haut. Le corps est court, bien soudé sans tendance à être obèse. Les membres sont forts, bien musclés, athlétiques. L’arrière-main est haut et fort mais un peu plus léger en comparaison de l’avant bâti en force. La femelle n’est pas aussi impressionnante ni aussi développée que le mâle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
